,age,hrswork1,uhrswork,incwage,ran,wageW,LwageW,educ
66-1,40,24,24,7005,0.005848706,134.7115385,4.90313574,11
67-1,28,32,32,9735,0.424083788,187.2115385,5.232239199,14
68-1,40,55,55,54205,1.253848895,1042.403846,6.949284716,16
69-1,20,40,40,8555,0.927396119,164.5192308,5.103027468,12
70-1,31,0,30,2005,0.006120186,83.54166667,4.425345509,15
71-1,57,40,40,9005,1.33961672,173.1730769,5.154291539,12
72-1,45,41,40,9795,1.555163413,188.3653846,5.238383612,13
73-1,65,40,20,2775,1.555196941,53.36538462,3.977162308,12
74-1,26,50,50,2505,1.55553408,49.11764706,3.894218381,12
75-1,23,40,40,4145,1.555591356,79.71153846,4.378414349,12
76-1,19,20,25,785,1.893655397,78.5,4.363098625,12
77-1,25,40,40,8505,1.200084109,163.5576923,5.097165786,14
78-1,25,40,40,8005,0.928292982,177.8888889,5.181159136,13
79-1,50,40,40,4805,1.960558351,92.40384615,4.526168603,12
80-1,35,45,45,26005,1.132098027,500.0961538,6.214800388,15
81-1,25,35,35,11005,0.006771646,211.6346154,5.354861275,16
82-1,19,20,20,7205,1.55606214,138.5576923,4.93128679,12
83-1,27,41,40,3305,1.556130592,113.9655172,4.735895922,12
84-1,37,40,40,27005,1.200664788,562.6041667,6.332576302,16
85-1,46,40,40,3005,0.928452238,57.78846154,4.056789128,7
86-1,63,40,40,11005,0.007114839,211.6346154,5.354861275,18
87-1,56,60,60,24445,1.200693659,470.0961538,6.152937256,12
88-1,23,40,40,11965,1.119934954,230.0961538,5.438497282,9
89-1,57,44,40,12005,0.96211629,230.8653846,5.44183479,12
90-1,36,40,25,3005,1.961360686,57.78846154,4.056789128,11
91-1,37,40,40,13005,1.201023348,250.0961538,5.521845459,13
92-1,39,40,40,10515,0.007772353,202.2115385,5.30931437,12
93-1,24,40,40,6005,1.55702373,133.4444444,4.893685245,12
94-1,34,35,20,2195,0.425606966,87.8,4.475061501,12
95-1,24,40,40,12005,0.008096918,230.8653846,5.44183479,10
96-1,32,40,40,4005,0.42573642,77.01923077,4.344055141,12
97-1,23,38,38,7005,0.929601956,134.7115385,4.90313574,12
98-1,41,32,35,9005,1.55828381,173.1730769,5.154291539,12
99-1,56,48,40,8005,1.558292191,153.9423077,5.036577907,11
100-1,33,18,18,2505,1.201821025,62.625,4.137164559,12
101-1,33,65,60,15005,0.683361199,375.125,5.927259304,17
102-1,28,40,40,12005,0.008780044,235.3921569,5.461252876,16
103-1,18,16,15,4005,1.451392192,77.01923077,4.344055141,12
104-1,19,40,40,2505,0.723508187,125.25,4.83031174,12
105-1,54,40,40,12635,0.008965842,242.9807692,5.492982301,13
106-1,41,20,28,12005,0.008986332,230.8653846,5.44183479,12
107-1,37,44,40,14045,0.930828974,270.0961538,5.598778021,12
108-1,19,40,40,5005,0.930901151,116.3953488,4.756992576,12
109-1,23,40,40,8005,0.723737758,153.9423077,5.036577907,12
110-1,21,40,40,5805,1.202407759,111.6346154,4.715231176,12
111-1,39,38,38,10105,0.931041781,194.3269231,5.269541911,12
112-1,53,40,8,7005,0.009430572,134.7115385,4.90313574,1
113-1,18,40,20,3005,1.559592318,62.60416667,4.136831836,12
114-1,37,35,40,22005,1.202639192,423.1730769,6.047781261,12
115-1,32,32,32,10005,1.202663872,196.1764706,5.279014614,14
116-1,39,40,40,7005,0.427114312,166.7857143,5.11670984,12
117-1,37,40,40,8005,0.554982107,160.1,5.07579862,12
118-1,62,12,12,4805,1.20296143,92.40384615,4.526168603,12
119-1,52,40,40,7535,0.724563841,144.9038462,4.976070392,12
120-1,21,40,40,4245,0.009971671,151.6071429,5.021292589,14
121-1,25,40,40,9005,0.931544695,173.1730769,5.154291539,14
122-1,27,40,40,8845,1.203227323,170.0961538,5.136363888,12
123-1,31,30,30,13505,1.203241292,375.1388889,5.927296328,16
124-1,21,15,12,3165,0.555693638,71.93181818,4.275718701,15
125-1,33,40,40,10005,1.203270163,200.1,5.298817242,12
126-1,22,35,35,9055,0.010377262,174.1346154,5.159828652,12
127-1,23,40,40,10005,1.203353982,277.9166667,5.627321309,16
128-1,25,40,40,18505,1.523537561,355.8653846,5.874552526,16
129-1,41,48,40,14005,0.725621358,269.3269231,5.595925969,12
130-1,42,40,40,7805,0.932010822,150.0961538,5.011276114,9
131-1,21,0,40,5105,1.560803037,170.1666667,5.136778349,10
132-1,57,40,40,8005,0.010755379,153.9423077,5.036577907,8
133-1,53,45,40,17085,0.010959804,427.125,6.05707671,16
134-1,34,33,40,2605,0.932500232,72.36111111,4.281669016,8
135-1,21,40,40,6665,1.56128034,128.1730769,4.853381514,12
136-1,48,50,40,14005,1.136981882,269.3269231,5.595925969,14
137-1,61,39,40,7005,0.011460856,175.125,5.165500005,9
138-1,29,40,40,4005,1.965809613,100.125,4.606419405,17
139-1,28,30,26,8585,1.56174181,476.9444444,6.167400015,12
140-1,64,10,10,4505,1.204322092,90.1,4.500920165,20
141-1,24,20,20,2005,0.011741184,80.2,4.384523515,12
142-1,30,48,40,11965,0.259051099,230.0961538,5.438497282,12
143-1,26,40,40,605,0.932926778,86.42857143,4.459318309,12
144-1,39,40,40,13005,0.012194272,250.0961538,5.521845459,16
145-1,29,50,40,13005,1.204868313,260.1,5.561066172,15
146-1,23,0,40,5665,1.205222216,188.8333333,5.240864792,13
147-1,60,40,40,6895,1.562022604,132.5961538,4.887308072,0
148-1,62,40,40,7105,0.557623804,136.6346154,4.917310322,11
149-1,65,0,45,6515,0.557634979,325.75,5.786130216,17
150-1,32,30,40,11005,0.933217816,211.6346154,5.354861275,14
151-1,48,15,15,2405,0.012710225,100.2083333,4.607251352,9
152-1,56,40,40,9005,1.205783803,183.7755102,5.213714959,12
153-1,21,40,40,6405,0.013114419,123.1730769,4.813590496,13
154-1,25,40,40,10005,0.933535397,192.4038462,5.259596528,12
155-1,57,30,30,20505,1.562729944,512.625,6.239544584,19
156-1,39,8,30,105,1.206167974,105,4.65396035,12
157-1,30,44,44,11005,0.013517216,211.6346154,5.354861275,16
158-1,47,32,20,4615,0.933828298,88.75,4.485823428,12
159-1,25,27,40,6905,0.336611643,132.7884615,4.888757347,13
160-1,55,40,40,16505,1.206647139,317.4038462,5.760174926,14
161-1,31,40,40,3305,1.746091992,110.1666667,4.701994371,12
162-1,61,24,11,31005,1.967178192,2818.636364,7.944008488,20
163-1,25,40,40,13005,0.72796084,260.1,5.561066172,12
164-1,20,50,50,13605,0.93459757,261.6346154,5.566948933,12
165-1,43,40,40,15995,1.563429832,307.5961538,5.728787734,16
166-1,32,40,40,15005,0.014072284,288.5576923,5.664895039,12
167-1,25,32,32,11005,1.207222231,211.6346154,5.354861275,12
168-1,28,48,44,12905,0.014286023,263.3673469,5.573549814,8
169-1,39,40,30,5005,1.207464375,102.1428571,4.626372394,12
170-1,40,40,40,5505,1.207490917,105.8653846,4.662168331,12
171-1,38,45,45,6915,1.526892185,135.5882353,4.909622611,14
172-1,22,40,40,8005,0.728699844,160.1,5.07579862,12
173-1,33,8,10,2005,1.295913476,41.77083333,3.732198329,15
174-1,39,40,40,6435,0.935600139,123.75,4.818263401,12
175-1,46,40,40,6475,1.746492926,124.5192308,4.824460168,9
176-1,46,6,6,2125,1.208046917,40.86538462,3.710283363,12
177-1,24,32,40,4005,0.015103724,200.25,5.299566586,12
178-1,34,40,40,14005,0.015237369,269.3269231,5.595925969,15
179-1,28,32,40,4205,0.729492866,110.6578947,4.706443413,9
180-1,42,40,40,10005,0.203028321,192.4038462,5.259596528,10
181-1,33,45,45,1415,1.458283979,283,5.645446898,12
182-1,25,40,35,16005,0.729543157,307.7884615,5.729412734,14
183-1,57,40,40,12015,1.968876459,231.0576923,5.44266743,12
184-1,34,40,40,9885,1.968944911,190.0961538,5.247530017,12
185-1,20,35,35,9505,0.01566764,182.7884615,5.208329536,12
186-1,32,0,40,8165,0.015683472,170.1041667,5.136410994,12
187-1,62,24,8,605,1.566046383,25.20833333,3.227174628,12
188-1,31,23,13,725,1.566142309,30.20833333,3.408117825,12
189-1,36,40,40,11005,0.729875639,211.6346154,5.354861275,13
190-1,18,7,10,455,0.937358942,26.76470588,3.287084075,12
191-1,22,35,35,6375,1.183855813,159.375,5.071259916,12
192-1,41,40,40,13595,1.566737425,266.5686275,5.585631724,11
193-1,65,30,30,5405,0.730167609,112.6041667,4.723878719,10
194-1,43,35,35,7085,1.209858339,147.6041667,4.994534141,12
195-1,23,8,8,5205,1.566958614,130.125,4.868495527,12
196-1,35,40,30,1505,1.880554482,37.625,3.627668723,15
197-1,27,32,40,14045,0.01630839,270.0961538,5.598778021,13
198-1,34,40,48,8355,1.56712858,160.6730769,5.079371722,13
199-1,52,40,40,23005,1.210090239,442.4038462,6.092223144,14
200-1,30,33,50,535,1.567397267,133.75,4.895972386,18
201-1,53,75,40,5005,1.210280694,113.75,4.734003058,12
202-1,35,43,45,9005,1.567443833,176.5686275,5.173709625,12
203-1,21,40,40,6005,0.205453485,115.4807692,4.749104016,5
204-1,44,40,40,8005,1.567789819,333.5416667,5.809767795,7
205-1,29,45,45,26805,1.530048903,515.4807692,6.245099998,19
206-1,32,40,40,11055,1.530087087,212.5961538,5.359394375,17
207-1,26,20,40,12005,0.731526874,240.1,5.481055503,17
208-1,54,40,40,14885,1.478982158,286.25,5.656865555,12
209-1,49,24,24,4975,0.939330086,124.375,4.823301195,12
210-1,47,32,40,3195,0.731912907,266.25,5.584435717,10
211-1,42,24,24,9005,0.939373393,173.1730769,5.154291539,15
212-1,32,40,35,15005,0.563210342,1000.333333,6.908088557,18
213-1,24,41,41,6805,0.018212944,130.8653846,4.874169197,12
214-1,50,60,60,23505,1.211708877,452.0192308,6.113724725,15
215-1,51,40,40,14005,0.018617138,285.8163265,5.65534939,10
216-1,21,10,30,2415,1.46087585,60.375,4.100575112,15
217-1,33,28,38,6505,0.018798746,250.1923077,5.522229853,16
218-1,25,32,32,5205,0.018812716,113.1521739,4.728733585,14
219-1,42,20,35,1605,0.732311513,133.75,4.895972386,12
220-1,22,42,40,11685,0.018951483,292.125,5.677181793,14
221-1,21,34,40,8095,0.018981285,155.6730769,5.047758148,12
222-1,54,0,37,9885,0.940469094,190.0961538,5.247530017,8
223-1,51,40,40,13605,1.971871592,261.6346154,5.566948933,16
224-1,33,40,40,6005,1.354671083,115.4807692,4.749104016,9
225-1,28,30,30,16405,0.019246247,410.125,6.016461991,18
226-1,49,8,20,1805,0.019324478,60.16666667,4.097118489,16
227-1,64,30,30,4885,1.212730072,103.9361702,4.643776963,12
228-1,26,40,40,11005,0.019659288,211.6346154,5.354861275,16
229-1,23,40,40,4805,1.883418299,92.40384615,4.526168603,8
230-1,49,35,40,9885,0.765504315,190.0961538,5.247530017,12
231-1,46,40,40,16805,0.343387946,350.1041667,5.858230729,12
232-1,22,15,48,3255,0.564921647,93,4.532599493,16
233-1,41,40,40,6765,1.972537022,130.0961538,4.868273822,12
234-1,64,35,35,5805,0.020152424,111.6346154,4.715231176,12
235-1,31,69,60,13005,0.437807757,250.0961538,5.521845459,18
236-1,57,40,40,9005,0.02054777,173.1730769,5.154291539,12
237-1,19,40,40,2505,1.404276583,78.28125,4.360308111,12
238-1,54,40,40,10005,0.941839535,192.4038462,5.259596528,8
239-1,23,0,40,6005,1.213615295,115.4807692,4.749104016,12
240-1,25,25,30,75,0.565744005,37.5,3.624340933,12
241-1,26,40,44,9105,1.462226734,182.1,5.204555987,12
242-1,24,40,40,4405,0.942146871,110.125,4.701616084,16
243-1,64,24,40,2105,1.627897378,175.4166667,5.167164096,12
244-1,40,0,30,3905,1.973837614,108.4722222,4.686494124,10
245-1,38,37,37,9685,0.020805281,242.125,5.489454122,18
246-1,23,40,40,5005,0.942419749,166.8333333,5.11699531,10
247-1,24,40,40,13005,1.214656979,250.0961538,5.521845459,15
248-1,53,40,40,27005,1.145841554,574.5744681,6.353629711,12
249-1,21,8,10,1205,0.942565035,33.47222222,3.510715907,14
250-1,24,38,38,9005,1.572370064,173.1730769,5.154291539,12
251-1,62,40,40,10005,1.051482745,192.4038462,5.259596528,12
252-1,19,48,40,6005,0.021384098,122.5510204,4.808527436,12
253-1,29,50,48,19005,1.215323806,365.4807692,5.901213663,16
254-1,33,15,15,3005,0.021617394,57.78846154,4.056789128,11
255-1,52,35,35,5005,1.907520927,119.1666667,4.780523073,12
256-1,63,0,40,11225,0.021753833,215.8653846,5.374654994,12
257-1,23,40,30,6785,1.259882003,130.4807692,4.871225854,15
258-1,54,6,8,2205,1.974715851,42.40384615,3.747239069,12
259-1,52,35,35,11545,0.440183561,230.9,5.441984716,12
260-1,29,0,40,8005,1.97507767,200.125,5.298942171,10
261-1,43,40,40,8005,1.57331489,153.9423077,5.036577907,12
262-1,22,15,20,805,1.573348418,67.08333333,4.205935628,16
263-1,24,40,40,7055,0.943894498,251.9642857,5.529287354,14
264-1,32,40,40,3855,1.813630573,80.3125,4.385925275,6
265-1,26,40,40,7605,0.02285745,146.25,4.985317486,13
266-1,38,36,40,12005,1.573745627,250.1041667,5.521877498,12
267-1,36,40,40,8005,1.46434037,153.9423077,5.036577907,6
268-1,22,18,18,4905,1.573929098,94.32692308,4.546766653,15
269-1,27,0,40,4205,1.358343288,135.6451613,4.910042368,13
270-1,22,35,35,2305,1.216424629,85.37037037,4.446999089,16
271-1,32,20,20,4305,0.568116549,86.1,4.455509411,14
272-1,41,40,55,5285,1.574559603,101.6346154,4.62138418,12
273-1,60,40,40,22005,1.535621937,423.1730769,6.047781261,12
274-1,38,0,35,5005,0.02343487,96.25,4.566948973,10
275-1,31,16,16,505,0.441361219,9.711538462,2.273314711,12
276-1,53,20,20,3215,1.645213924,61.82692308,4.124338918,11
277-1,59,40,40,10185,0.945113134,231.4772727,5.444481695,16
278-1,61,40,40,13005,0.271499157,270.9375,5.601888167,9
279-1,25,40,40,8845,1.977053937,170.0961538,5.136363888,12
280-1,19,39,9,6235,1.26253115,119.9038462,4.78669014,12
281-1,32,0,40,8905,0.024003908,171.25,5.143124477,10
282-1,54,0,40,34155,1.909583341,656.8269231,6.487420549,12
283-1,39,40,40,20005,1.053574029,384.7115385,5.952493803,18
284-1,34,60,40,8845,0.0241003,170.0961538,5.136363888,12
285-1,39,40,8,6985,0.442611985,134.3269231,4.900276553,12
286-1,20,30,38,2005,1.217538025,133.6666667,4.895349139,14
287-1,63,3,20,2075,0.024647452,53.20512821,3.974154787,12
288-1,31,0,40,16305,0.024906825,326.1,5.787204083,19
289-1,26,50,40,14805,1.217862125,284.7115385,5.651476522,16
290-1,30,39,40,10005,0.94630057,192.4038462,5.259596528,14
291-1,62,40,40,7805,0.025180634,150.0961538,5.011276114,8
292-1,44,12,12,4685,1.910259482,90.09615385,4.500877476,10
293-1,26,37,37,5735,1.899443567,114.7,4.742320024,12
294-1,27,72,72,4805,0.443374272,92.40384615,4.526168603,12
295-1,28,40,40,7105,0.946848188,165.2325581,5.107353925,14
296-1,50,35,35,7005,0.274218153,134.7115385,4.90313574,15
297-1,20,40,40,8655,1.218306832,166.4423077,5.114648749,12
298-1,47,56,39,7775,0.947037712,194.375,5.269789283,8
299-1,33,16,16,4445,0.990374014,85.48076923,4.448291429,16
300-1,46,40,40,18005,1.218580175,346.25,5.847161058,12
301-1,48,24,40,3005,0.740170479,66.77777778,4.201370357,12
302-1,23,0,40,2005,0.274628401,286.4285714,5.657489191,12
303-1,26,40,40,7805,0.570481177,150.0961538,5.011276114,12
304-1,21,3,25,2505,1.979012974,62.625,4.137164559,13
305-1,27,40,32,32495,0.740494113,833.2051282,6.725279864,12
306-1,65,16,19,3455,1.97926769,66.44230769,4.196334018,12
307-1,51,40,40,3405,1.264484599,106.40625,4.667264316,12
308-1,57,40,40,11005,1.486388966,211.6346154,5.354861275,12
309-1,64,40,40,23275,1.577688847,447.5961538,6.103891384,12
310-1,53,40,40,10505,0.026717782,202.0192308,5.308362895,12
311-1,29,0,40,3525,0.02678996,110.15625,4.701899812,12
312-1,19,32,32,1565,0.445281155,30.09615385,3.404397384,12
313-1,47,21,25,2825,1.219612081,156.9444444,5.055891886,16
314-1,20,15,8,705,1.219677739,17.625,2.869318349,12
315-1,45,40,40,7005,0.027088448,134.7115385,4.90313574,12
316-1,41,9,12,1155,0.027154107,27.5,3.314186005,12
317-1,43,35,35,10805,0.571893062,207.7884615,5.33652055,13
318-1,55,0,40,3435,0.027284492,180.7894737,5.197333225,20
319-1,23,40,40,4795,0.948749017,217.9545455,5.384286534,12
320-1,36,37,40,4455,1.219955739,92.8125,4.530581329,14
321-1,54,40,40,5005,0.027666334,96.25,4.566948973,8
322-1,54,39,39,12845,0.446773134,247.0192308,5.509466191,13
323-1,49,40,30,805,0.948914327,32.2,3.471966453,8
324-1,37,40,40,3055,1.220332924,72.73809524,4.286865253,12
325-1,28,50,40,15005,0.572856516,288.5576923,5.664895039,12
326-1,19,12,40,6205,1.220426988,119.3269231,4.781866979,11
327-1,24,36,36,6935,1.636202913,133.3653846,4.893092614,13
328-1,39,38,38,6905,1.98222138,143.8541667,4.968800055,12
329-1,34,40,40,13505,1.65079115,375.1388889,5.927296328,12
330-1,25,40,40,14005,0.028871,269.3269231,5.595925969,16
331-1,19,45,40,4405,1.220788341,110.125,4.701616084,12
332-1,49,40,40,18305,1.220855396,352.0192308,5.863685807,14
333-1,56,40,40,7005,0.447484665,134.7115385,4.90313574,12
334-1,59,0,16,15,0.573992729,15,2.708050201,10
335-1,38,20,20,4885,0.823838171,93.94230769,4.542680846,13
336-1,25,30,40,7495,0.447591767,144.1346154,4.970747692,16
337-1,47,38,38,9205,1.401741523,187.8571429,5.235681796,14
338-1,47,12,16,2905,0.949873123,181.5625,5.201599947,13
339-1,53,7,30,5565,0.95000118,132.5,4.886582645,12
340-1,62,20,40,13925,1.58049725,290.1041667,5.670240054,12
341-1,25,40,40,10005,1.58058852,192.4038462,5.259596528,13
342-1,49,40,40,4805,0.727279577,92.40384615,4.526168603,11
343-1,22,40,20,2905,1.580809709,56.96078431,4.042363037,16
344-1,35,40,40,4165,0.029766001,347.0833333,5.849564905,15
345-1,60,32,40,7005,0.950736459,134.7115385,4.90313574,7
346-1,34,30,40,2405,1.581086777,200.4166667,5.300398533,16
347-1,21,40,40,3005,1.983401366,200.3333333,5.299982646,12
348-1,24,23,20,2105,0.029952265,84.2,4.433194921,12
349-1,52,45,40,29005,0.744455028,557.7884615,6.323979789,19
350-1,18,27,20,3705,0.744534656,71.25,4.266194819,12
351-1,55,16,16,3275,0.744589139,68.22916667,4.222872137,8
352-1,35,40,40,12335,1.541470643,237.2115385,5.46895231,12
353-1,55,6,12,7795,1.581608783,194.875,5.272358327,15
354-1,40,38,38,15545,0.951334368,298.9423077,5.700250604,17
355-1,43,40,40,4005,0.57507446,77.01923077,4.344055141,12
356-1,24,40,40,9005,1.581794582,173.1730769,5.154291539,12
357-1,32,40,40,12215,1.581816003,234.9038462,5.459176265,12
358-1,50,21,40,705,1.822129823,141,4.94875989,12
359-1,49,40,42,22025,1.984774135,423.5576923,6.048689732,16
360-1,30,40,40,14585,0.745240133,280.4807692,5.636505164,12
361-1,55,0,25,1295,0.745347701,76.17647059,4.33305263,8
362-1,22,8,15,1605,0.030880794,64.2,4.162003211,12
363-1,52,22,15,1805,0.280216802,34.71153846,3.547072152,12
364-1,33,0,8,265,0.987580977,26.5,3.277144733,16
365-1,44,40,40,14965,1.367773861,287.7884615,5.662225702,18
366-1,54,37,40,11005,0.451092143,211.6346154,5.354861275,12
367-1,39,32,40,9005,0.031156,173.1730769,5.154291539,10
368-1,39,40,40,7005,1.583230682,134.7115385,4.90313574,12
369-1,55,40,40,15145,1.224469859,291.25,5.674182005,11
370-1,39,30,40,8005,0.031350646,153.9423077,5.036577907,12
371-1,41,45,40,8135,0.576651189,254.21875,5.538195117,15
372-1,62,14,20,2005,1.224680338,55.69444444,4.019880401,8
373-1,52,30,6,4065,1.22474134,90.33333333,4.503506532,12
374-1,30,40,40,24005,1.159012318,461.6346154,6.134773702,12
375-1,20,40,40,2505,1.584042329,67.7027027,4.215126101,12
376-1,46,40,40,7855,1.473585609,201.4102564,5.305343905,12
377-1,29,48,45,4005,0.032115262,87.06521739,4.466657463,12
378-1,37,40,40,605,0.03211759,50.41666667,3.920321808,14
379-1,18,20,40,2005,0.953516923,57.28571429,4.048051278,11
380-1,38,24,40,3005,1.225829124,107.3214286,4.675828337,12
381-1,35,40,40,11005,1.225830521,211.6346154,5.354861275,13
382-1,32,38,40,24335,1.225877088,467.9807692,6.148427204,12
383-1,65,15,15,5005,1.769107766,96.25,4.566948973,12
384-1,61,25,35,7805,1.36925187,150.0961538,5.011276114,12
385-1,35,50,50,16005,1.584799495,307.7884615,5.729412734,16
386-1,27,40,40,13005,1.98656274,250.0961538,5.521845459,16
387-1,22,32,40,8845,0.032878015,170.0961538,5.136363888,12
388-1,32,36,40,13005,0.453007873,250.0961538,5.521845459,16
389-1,19,30,26,1075,0.954376068,41.34615385,3.721979403,13
390-1,25,45,40,10805,0.033118296,207.7884615,5.33652055,13
391-1,36,8,20,935,1.585158519,311.6666667,5.741934241,12
392-1,44,40,40,4005,0.578855164,77.01923077,4.344055141,12
393-1,22,40,40,5505,0.282933936,110.1,4.701389044,12
394-1,22,40,40,11005,1.227412838,215.7843137,5.374279361,13
395-1,28,40,40,6005,0.902924221,115.4807692,4.749104016,14
396-1,23,16,16,5005,0.033651479,96.25,4.566948973,14
397-1,58,40,10,9505,0.033672433,211.2222222,5.352910765,6
398-1,38,40,40,9605,0.454124529,184.7115385,5.218795357,12
399-1,33,35,35,9005,0.033964403,180.1,5.193512252,12
400-1,34,25,24,11005,0.74812118,211.6346154,5.354861275,18
401-1,45,33,33,15855,1.919663511,304.9038462,5.719996468,12
402-1,64,40,8,3305,0.034284778,82.625,4.414312298,12
403-1,47,40,40,5725,0.034390483,110.0961538,4.70135411,9
404-1,23,40,40,5725,1.586202998,110.0961538,4.70135411,12
405-1,42,40,40,6005,1.228381414,150.125,5.01146828,8
406-1,36,40,40,3645,0.034669414,70.09615385,4.249867926,12
407-1,22,40,20,2005,0.034708995,38.55769231,3.652155621,13
408-1,48,40,40,12005,1.920277253,230.8653846,5.44183479,15
409-1,46,0,40,5005,1.586626284,125.125,4.829313238,13
410-1,35,0,35,5465,0.035104807,130.1190476,4.868449782,12
411-1,32,48,48,2645,0.284270383,50.86538462,3.929182626,10
412-1,49,32,38,6005,1.586804166,142.9761905,4.962678116,12
413-1,27,39,40,4995,0.473090447,118.9285714,4.778523073,12
414-1,33,35,35,6975,1.228970475,134.1346154,4.898843888,12
415-1,64,40,40,7995,0.90454286,153.75,5.035327907,5
416-1,22,0,40,5905,0.035544857,140.5952381,4.94588511,12
417-1,39,27,28,4005,0.831480138,95.35714286,4.557629241,12
418-1,31,46,44,11005,0.74962154,211.6346154,5.354861275,16
419-1,56,34,30,1985,1.989424229,330.8333333,5.801614724,12
420-1,30,44,40,19305,0.035949051,371.25,5.91687569,16
421-1,30,50,38,4925,1.477702055,410.4166667,6.017172904,12
422-1,53,32,32,30005,1.587740611,577.0192308,6.357875595,17
423-1,47,48,40,11005,0.582108274,211.6346154,5.354861275,12
424-1,28,44,50,8005,0.036215875,266.8333333,5.586624244,13
425-1,26,40,40,14805,0.036293175,284.7115385,5.651476522,12
426-1,31,40,40,14505,1.588039566,453.28125,6.116512794,16
427-1,58,32,40,12155,0.95699681,270.1111111,5.598833397,5
428-1,23,53,40,13005,0.456620473,250.0961538,5.521845459,12
429-1,18,40,40,2175,1.990139019,135.9375,4.912195221,12
430-1,57,40,40,14005,0.036644749,269.3269231,5.595925969,16
431-1,26,40,8,6765,1.897208858,130.0961538,4.868273822,12
